OrganizationId,WebsiteURL,CharityName,Ein,Rating,CategoryId,CityId,PostalCode,StreetAddress
35,http://www.assh.org/afsh/,American Foundation for Surgery of the Hand,742428242,4,6,6,60607,822 West Washington Boulevard
36,http://www.lung.org,"American Lung Association, National Headquarters",131632524,4,6,6,60601,55 West Wacker Drive
37,https://amafoundation.org/,American Medical Association Foundation,366080517,1,6,6,60611,330 North Wabash Avenue
38,http://www.bearnecessities.org/,Bear Necessities Pediatric Cancer Foundation,363874655,3,6,6,60601,55 West Wacker Drive
39,http://www.thebrf.org/,Brain Research Foundation,362477928,3,6,6,60602,111 West Washington Street
40,https://www.brightpink.org/,Bright Pink,510619889,3,6,6,60654,670 N. Clark Street
41,https://camponestep.org/,Children's Oncology Services,364263831,4,6,6,60610,213 West Institute Place
42,http://www.cureepilepsy.org,Citizens United for Research in Epilepsy,364253176,3,6,6,60611,420 N. Wabash Avenue
43,http://www.dbsalliance.org/,"Depression and Bipolar Support Alliance, National Office",363379124,3,6,6,60604,55 East Jackson Boulevard
44,http://www.dystonia-foundation.org/,Dystonia Medical Research Foundation,953378526,4,6,6,60601,One East Wacker Drive
45,http://www.advancingjustice-chicago.org/,Asian Americans Advancing Justice - Chicago,363844385,3,7,6,60640,4753 North Broadway
46,http://www.bettergov.org/,Better Government Association,360802950,4,7,6,60606,223 West Jackson Boulevard
47,http://www.cgla.net/,Cabrini-Green Legal Aid,362775706,3,7,6,60603,6 South Clark Street
48,https://www.carpls.org/,CARPLS,363863573,4,7,6,60602,17 North State Street
49,http://www.centeronhalsted.org,Center on Halsted,510178807,4,7,6,60613,3656 North Halsted
50,http://chicagobarfoundation.org/,Chicago Bar Foundation,366109584,3,7,6,60604,321 South Plymouth Court
51,http://www.cfw.org/,Chicago Foundation for Women,363348160,4,7,6,60603,140 S. Dearborn Street
52,http://clccrul.org/,Chicago Lawyers' Committee for Civil Rights Under Law,510189264,2,7,6,60602,100 North LaSalle Street
53,http://www.clclaw.org/,Chicago Legal Clinic,363200465,3,7,6,60617,2938 East 91st Street
54,http://www.cvls.org/,Chicago Volunteer Legal Services,237164989,3,7,6,60602,33 North Dearborn Street
55,http://www.actionforhealthykids.org/,Action for Healthy Kids,470902020,3,8,6,60607,600 West Van Buren Boulevard
56,http://alternativesyouth.org/,Alternatives,362720602,3,8,6,60640,4730 North Sheridan Road
57,http://www.bbbschgo.org/,Big Brothers Big Sisters of Metropolitan Chicago,362681212,4,8,6,60661,560 West Lake Street
58,http://www.bgcc.org/,Boys & Girls Clubs of Chicago,362166997,3,8,6,60612,2102 West Monroe Street
59,http://www.breakthrough.org,Breakthrough,363810926,4,8,6,60624,402 N. St. Louis Avenue
60,http://buildchicago.org/,"BUILD, Inc.",237022085,4,8,6,60644,5100 West Harrison
61,http://www.economicprogress.org/,Center for Economic Progress,363693728,2,8,6,60661,567 West Lake Street
